city,population
"Spartansburg, PA",286
"Speers, PA",1066
"Springboro, PA",446
"Springdale, PA",3288
"Starrucca, PA",165
"Steelton, PA",5962
"Stewartstown, PA",2266
"Stillwater, PA",205
"Stockdale, PA",499
"Stockertown, PA",926
"Stoneboro, PA",980
"Stoystown, PA",319
"Strasburg, PA",3030
"Strattanville, PA",498
"Stroudsburg, PA",5558
"Sugarcreek, PA",4904
"Summerhill, PA",444
"Summerville, PA",505
"Sutersville, PA",570
"Swarthmore, PA",6346
"Swissvale, PA",8647
"Swoyersville, PA",5009
"Sykesville, PA",1115
"Sylvania, PA",210
"Tamaqua, PA",6664
"Tarentum, PA",4366
"Tatamy, PA",1174
"Taylor, PA",5913
"Telford, PA",4894
"Thompson, PA",269
"Thompsontown, PA",664
"Thornburg, PA",413
"Throop, PA",3896
"Tidioute, PA",641
"Timblin, PA",146
"Tioga, PA",647
"Tionesta, PA",425
"Topton, PA",2069
"Towanda, PA",2810
"Townville, PA",309
"Trafford, PA",3039
"Trainer, PA",1836
"Trappe, PA",3725
"Tremont, PA",1666
"Troutville, PA",225
"Troy, PA",1233
"Trumbauersville, PA",935
"Tullytown, PA",2181
"Tunkhannock, PA",1697
"Tunnelhill, PA",331
"Turbotville, PA",665
"Twilight, PA",225
"Tyrone, PA",5139
"Ulysses, PA",579
"Unionville, PA",289
"Upland, PA",3326
"Ursina, PA",208
"Utica, PA",169
"Valencia, PA",1362
"Valley-Hi, PA",15
"Vanderbilt, PA",450
"Vandergrift, PA",4875
"Vandling, PA",705
"Venango, PA",249
"Verona, PA",2411
"Versailles, PA",1461
"Vintondale, PA",375
"Volant, PA",151
"Wall, PA",557
"Wallaceton, PA",304
"Walnutport, PA",2087
"Wampum, PA",658
"Washingtonville, PA",275
"Waterford, PA",1495
"Watsontown, PA",2252
"Wattsburg, PA",381
"Waymart, PA",1269
"Waynesboro, PA",10886
"Waynesburg, PA",3965
"Weatherly, PA",2458
"Weissport, PA",397
"Wellersburg, PA",171
"Wellsboro, PA",3227
"Wellsville, PA",254
"Wernersville, PA",2799
"Wesleyville, PA",3117
"Westfield, PA",1036
"Westmont, PA",4685
"Westover, PA",376
"Wheatland, PA",582
"Whitaker, PA",1235
"Whitehall, PA",13393
"Wilkinsburg, PA",15292
"Williamsburg, PA",1177
"Williamstown, PA",1386
"Wilmerding, PA",2111
"Wilmore, PA",205
"Wilson, PA",7807
"Windber, PA",3816
"Windsor, PA",1485
"Winterstown, PA",627
"Womelsdorf, PA",2907
"Woodbury, PA",264
"Woodcock, PA",149
"Wormleysburg, PA",3054
"Worthington, PA",589
"Worthville, PA",65
"Wrightsville, PA",2296
"Wyalusing, PA",555
"Wyoming, PA",3011
"Wyomissing, PA",10635
"Yardley, PA",2514
"Yatesville, PA",611
"Yeadon, PA",11496
"Yoe, PA",1014
"Yorkana, PA",229
"Youngstown, PA",305
"Youngsville, PA",1612
"Youngwood, PA",2857
"Zelienople, PA",3603
"Abbeville, AL",2560
"Adamsville, AL",4281
"Alabaster, AL",33487
"Albertville, AL",21711
"Aliceville, AL",2254
"Andalusia, AL",8680
"Anniston, AL",21287
"Arab, AL",8383
"Ashville, AL",2365
"Athens, AL",27366
"Atmore, AL",9107
"Attalla, AL",5771
"Auburn, AL",66259
"Bessemer, AL",26472
"Birmingham, AL",209403
"Boaz, AL",9704
"Brent, AL",4747
"Brewton, AL",5210
"Bridgeport, AL",2297
"Brighton, AL",2775
"Brundidge, AL",1902
"Calera, AL",14717
"Camden, AL",1765
"Centre, AL",3542
"Centreville, AL",2609
"Chelsea, AL",14126
"Chickasaw, AL",5702
"Childersburg, AL",4837
"Citronelle, AL",3861
"Clanton, AL",8794
"Clay, AL",9923
"Clio, AL",1274
"Columbiana, AL",4550
"Cordova, AL",1850
"Creola, AL",2036
"Cullman, AL",16034
"Dadeville, AL",3053
"Daleville, AL",5102
"Daphne, AL",26869
"Decatur, AL",54445
"Demopolis, AL",6612
"Dora, AL",1905
"Dothan, AL",68941
"Elba, AL",3811
"Enterprise, AL",28376
"Eufaula, AL",11709
"Evergreen, AL",3526
"Fairfield, AL",10568
"Fairhope, AL",22677
"Fayette, AL",4275
"Florence, AL",40797
"Foley, AL",20391
"Fultondale, AL",9284
"Gadsden, AL",35000
"Gardendale, AL",14177
"Geneva, AL",4289
"Glencoe, AL",5071
"Graysville, AL",2092
"Greensboro, AL",2268
"Greenville, AL",7395
"Guin, AL",2275
"Guntersville, AL",8571
"Haleyville, AL",4142
"Hamilton, AL",6606
"Hanceville, AL",3461
"Hartford, AL",2578
"Hartselle, AL",14466
"Headland, AL",4712
"Heflin, AL",3409
"Helena, AL",19925
"Henagar, AL",2363
"Homewood, AL",25377
"Hoover, AL",85768
"Hueytown, AL",15322
"Huntsville, AL",200574
"Irondale, AL",12893
"Jackson, AL",4642
"Jacksonville, AL",12544
"Jasper, AL",13431
"Jemison, AL",2672
"Kimberly, AL",3593
"Lanett, AL",6151
"Leeds, AL",12040
"Lincoln, AL",6781
"Linden, AL",1880
"Lineville, AL",2249
"Lipscomb, AL",2139
"Livingston, AL",3260
"Luverne, AL",2744
"Madison, AL",51593
"Marion, AL",3123
"Midfield, AL",5002
"Millbrook, AL",15896
"Mobile, AL",188720
"Monroeville, AL",5718
"Montevallo, AL",6738
"Montgomery, AL",198525
"Moody, AL",13065
"Moulton, AL",3241
"Northport, AL",26115
"Oneonta, AL",6577
"Opelika, AL",30908
"Opp, AL",6390
"Oxford, AL",21225
"Ozark, AL",14284
"Pelham, AL",23911
"Piedmont, AL",4535
"Pinson, AL",7106
"Prattville, AL",35957
"Prichard, AL",21428
"Rainsville, AL",5123
"Riverside, AL",2377
"Roanoke, AL",5913
"Robertsdale, AL",6815
"Russellville, AL",9737
"Samson, AL",1854
"Saraland, AL",14649
"Satsuma, AL",6190
"Scottsboro, AL",14436
"Selma, AL",17231
"Semmes, AL",5594
"Sheffield, AL",8901
"Slocomb, AL",1898
"Southside, AL",8905
"Springville, AL",4304
"Stevenson, AL",1951
"Sulligent, AL",1834
"Sumiton, AL",2332
"Sylacauga, AL",12034
"Talladega, AL",15457
"Tallassee, AL",4502
"Tarrant, AL",6109
"Thomasville, AL",3836
"Troy, AL",18957
"Trussville, AL",22635
"Tuscaloosa, AL",101129
"Tuscumbia, AL",8461
"Tuskegee, AL",8142
"Valley, AL",9141
"Vernon, AL",1850
"Warrior, AL",3210
"Weaver, AL",3061
"Wetumpka, AL",8371
"Winfield, AL",4519
"York, AL",2239
"Adak, AK",326
"Akhiok, AK",68
"Akiak, AK",394
"Akutan, AK",1041
"Alakanuk, AK",774
"Aleknagik, AK",220
"Allakaket, AK",161
"Ambler, AK",262
"Anderson, AK",340
"Angoon, AK",459
"Aniak, AK",549
"Anvik, AK",82
"Atka, AK",81
"Atqasuk, AK",248
"Bethel, AK",6586
"Bettles, AK",12
"Buckland, AK",422
"Chefornak, AK",471
"Chevak, AK",1077
"Chignik, AK",89
"Chuathbaluk, AK",126
"Cordova, AK",2169
"Craig, AK",1262
"Deering, AK",123
"Dillingham, AK",2360
"Diomede, AK",119
"Eagle, AK",83
"Eek, AK",315
"Egegik, AK",106
"Ekwok, AK",131
"Elim, AK",341
"Emmonak, AK",819
"Fairbanks, AK",30917
"Galena, AK",450
"Gambell, AK",700
"Golovin, AK",161
"Grayling, AK",198
"Gustavus, AK",447
"Homer, AK",5922
"Hoonah, AK",791
"Houston, AK",2412
"Hughes, AK",83
"Huslia, AK",258
"Hydaburg, AK",379
"Kachemak, AK",490
"Kake, AK",544
"Kaktovik, AK",254
"Kaltag, AK",173
"Kasaan, AK",48
"Kenai, AK",7807
"Ketchikan, AK",8284
"Kiana, AK",338
"Kivalina, AK",379
"Klawock, AK",787
"Kobuk, AK",153
"Kodiak, AK",5813
"Kotlik, AK",638
"Kotzebue, AK",3246
"Koyuk, AK",367
"Koyukuk, AK",92
"Kupreanof, AK",26
"Kwethluk, AK",762
"McGrath, AK",316
"Manokotak, AK",440
"Marshall, AK",461
"Mekoryuk, AK",205
"Napakiak, AK",370
"Napaskiak, AK",410
"Nenana, AK",357
"Newhalen, AK",187
"Nightmute, AK",317
"Nikolai, AK",86
"Nome, AK",3870
"Nondalton, AK",133
"Noorvik, AK",675
"Nuiqsut, AK",425
"Nulato, AK",243
"Nunapitchuk, AK",530
"Ouzinkie, AK",153
"Palmer, AK",7456
"Pelican, AK",87
"Platinum, AK",67
"Quinhagak, AK",706
"Ruby, AK",154
"Savoonga, AK",705
"Saxman, AK",385
"Selawik, AK",840
"Seldovia, AK",275
"Seward, AK",2796
"Shageluk, AK",78
"Shaktoolik, AK",259
"Shishmaref, AK",613
"Shungnak, AK",264
"Soldotna, AK",4719
"Stebbins, AK",575
"Tanana, AK",249
"Teller, AK",237
"Togiak, AK",841
"Unalakleet, AK",695
"Unalaska, AK",4432
"Utqiagvik, AK",4467
"Valdez, AK",3855
"Wainwright, AK",587
"Wales, AK",151
"Wasilla, AK",10838
"Whittier, AK",205
"Avondale, AZ",87931
"Benson, AZ",4880
"Bisbee, AZ",5225
"Buckeye, AZ",79620
"Chandler, AZ",261165
"Coolidge, AZ",13130
"Cottonwood, AZ",12253
